city,month,avg_uvi
sydney,1,9.2
sydney,2,8.6
sydney,3,7.1
sydney,4,5.2
sydney,5,3.5
sydney,6,2.6
sydney,7,2.9
sydney,8,3.8
sydney,9,5.6
sydney,10,7.2
sydney,11,8.7
sydney,12,9.8
melbourne,1,7.8
melbourne,2,7.3
melbourne,3,5.9
melbourne,4,4.0
melbourne,5,2.6
melbourne,6,1.9
melbourne,7,2.1
melbourne,8,2.9
melbourne,9,4.4
melbourne,10,5.9
melbourne,11,7.1
melbourne,12,8.2
brisbane,1,9.8
brisbane,2,9.3
brisbane,3,8.1
brisbane,4,6.2
brisbane,5,4.4
brisbane,6,3.3
brisbane,7,3.7
brisbane,8,4.9
brisbane,9,6.5
brisbane,10,8.0
brisbane,11,9.4
brisbane,12,10.2
perth,1,9.6
perth,2,9.1
perth,3,7.7
perth,4,5.7
perth,5,3.8
perth,6,2.8
perth,7,3.1
perth,8,4.1
perth,9,5.9
perth,10,7.5
perth,11,9.1
perth,12,10.3
adelaide,1,9.1
adelaide,2,8.5
adelaide,3,6.9
adelaide,4,4.9
adelaide,5,3.2
adelaide,6,2.3
adelaide,7,2.6
adelaide,8,3.5
adelaide,9,5.3
adelaide,10,7.0
adelaide,11,8.5
adelaide,12,9.7
darwin,1,10.8
darwin,2,10.1
darwin,3,11.2
darwin,4,11.9
darwin,5,12.1
darwin,6,11.8
darwin,7,12.3
darwin,8,13.1
darwin,9,13.4
darwin,10,12.8
darwin,11,11.9
darwin,12,11.2
hobart,1,7.2
hobart,2,6.7
hobart,3,5.4
hobart,4,3.7
hobart,5,2.3
hobart,6,1.6
hobart,7,1.8
hobart,8,2.6
hobart,9,3.9
hobart,10,5.3
hobart,11,6.6
hobart,12,7.6
canberra,1,8.8
canberra,2,8.2
canberra,3,6.6
canberra,4,4.6
canberra,5,3.0
canberra,6,2.1
canberra,7,2.4
canberra,8,3.3
canberra,9,5.1
canberra,10,6.8
canberra,11,8.3
canberra,12,9.5
